Part Number,Name,Category,In Stock,Min Required,On Order,Last Updated
KQ-001,Aircraft Engine Filter,Engine Parts,42,20,15,2025-05-24
KQ-002,Landing Gear Component,Landing System,28,15,10,2025-05-24
KQ-003,Cabin Air Filter,Environmental Control,56,30,0,2025-05-24
KQ-004,Fuel Pump,Fuel System,35,25,5,2025-05-24
KQ-005,Navigation Display Unit,Avionics,12,8,3,2025-05-24
KQ-006,Oxygen Mask,Safety Equipment,150,100,50,2025-05-24
KQ-007,Hydraulic Actuator,Hydraulic System,18,12,6,2025-05-24
KQ-008,Windshield Panel,Airframe,8,4,2,2025-05-24
KQ-009,Anti-ice System Valve,De-icing System,15,10,5,2025-05-24
KQ-010,Tire Assembly,Landing System,24,16,8,2025-05-24
